danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature
0.596, 0.575, 1, -8.003, 1, 0.0254, 0.0032, 0.00568, 0.118, 0.874, 105.008, 186813, 4
0.563, 0.841, 2, -5.35, 1, 0.0519, 0.263, 0.000258, 0.0751, 0.96, 154.876, 169996, 4
0.696, 0.62, 1, -8.346, 1, 0.0346, 0.0169, 0.176, 0.349, 0.665, 111.994, 280415, 4
0.417, 0.951, 4, -4.652, 1, 0.0733, 0.00164, 0.0000392, 0.219, 0.531, 160.042, 194288, 4
0.803, 0.47, 6, -7.232, 0, 0.0387, 0.587, 0.091, 0.0723, 0.879, 121.226, 290173, 4
0.499, 0.867, 9, -4.445, 0, 0.0345, 0.0737, 0.811, 0.252, 0.358, 88.437, 262427, 4
0.74, 0.917, 8, -5.389, 0, 0.0927, 0.0339, 0.0863, 0.225, 0.369, 104.98, 276973, 4
0.641, 0.937, 7, -4.808, 1, 0.0298, 0.297, 0.00862, 0.111, 0.436, 109.978, 235293, 4
0.31, 0.828, 11, -5.447, 1, 0.0511, 0.181, 0.0378, 0.0654, 0.281, 174.196, 125980, 4
0.621, 0.568, 7, -5.797, 1, 0.0449, 0.273, 0.0301, 0.0641, 0.545, 110.175, 270120, 5
0.575, 0.848, 4, -4.297, 1, 0.0885, 0.131, 0, 0.11, 0.425, 159.941, 280333, 4
0.801, 0.414, 11, -8.805, 1, 0.0559, 0.245, 0.00315, 0.105, 0.523, 104.013, 180577, 4
0.411, 0.635, 11, -4.714, 1, 0.0269, 0.313, 0, 0.108, 0.259, 147.747, 270853, 4
0.557, 0.939, 1, -4.712, 1, 0.0483, 0.0175, 0, 0.317, 0.346, 101.015, 246693, 4
0.539, 0.831, 4, -5.025, 1, 0.0459, 0.175, 0.00371, 0.236, 0.483, 169.93, 305500, 4
0.434, 0.842, 4, -4.468, 1, 0.038, 0.00442, 0.000142, 0.308, 0.835, 169.935, 236733, 4
0.569, 0.811, 2, -5.912, 1, 0.0392, 0.0648, 0.00323, 0.283, 0.834, 80.008, 179867, 4
0.498, 0.721, 10, -5.232, 1, 0.0282, 0.136, 0.7, 0.0933, 0.578, 140.027, 226440, 4
0.508, 0.921, 11, -2.807, 0, 0.0314, 0.0218, 0.00118, 0.499, 0.655, 92.457, 218787, 4
0.494, 0.832, 4, -4.298, 1, 0.0373, 0.00118, 0.00437, 0.18, 0.753, 179.974, 226027, 4
0.421, 0.572, 2, -7.065, 1, 0.0323, 0.00765, 0.00401, 0.283, 0.301, 145.23, 269293, 4
0.711, 0.775, 1, -4.04, 1, 0.0295, 0.316, 0, 0.102, 0.73, 125.044, 265160, 4
0.653, 0.822, 6, -7.89, 1, 0.0348, 0.183, 0.0000728, 0.111, 0.412, 130.066, 173827, 4
0.694, 0.711, 0, -4.237, 1, 0.0517, 0.114, 0.00124, 0.0433, 0.974, 119.516, 195733, 4
0.567, 0.735, 4, -7.296, 1, 0.0294, 0.0368, 0.000824, 0.149, 0.517, 126.857, 234497, 4
0.507, 0.75, 5, -5.986, 1, 0.0293, 0.00342, 0.000785, 0.171, 0.512, 157.992, 165427, 4
0.732, 0.817, 11, -5.924, 1, 0.0283, 0.0142, 0.00000197, 0.312, 0.962, 126.972, 179253, 4
0.306, 0.6, 6, -5.34, 1, 0.033, 0.0234, 0.00000114, 0.0807, 0.195, 143.887, 291920, 4
0.528, 0.908, 2, -5.609, 0, 0.0608, 0.00438, 0.000524, 0.335, 0.493, 121.491, 208280, 4
0.257, 0.805, 10, -5.119, 1, 0.0889, 0.164, 0.356, 0.32, 0.476, 87.019, 249573, 4
0.548, 0.909, 11, -5.26, 1, 0.0586, 0.0117, 0, 0.292, 0.58, 96.013, 217267, 4
0.271, 0.809, 10, -4.448, 1, 0.241, 0.00119, 0.0000284, 0.105, 0.453, 205.494, 222040, 4
0.353, 0.926, 3, -3.695, 1, 0.149, 0.117, 0, 0.0769, 0.47, 80.037, 261400, 4
0.564, 0.948, 6, -6.527, 0, 0.0377, 0.0202, 0.583, 0.104, 0.267, 124.979, 235840, 4
0.488, 0.879, 2, -6.812, 1, 0.0344, 0.0602, 0.0000335, 0.409, 0.268, 148.012, 171892, 4
0.537, 0.802, 3, -7.908, 1, 0.03, 0.504, 0.106, 0.15, 0.538, 144.976, 221975, 4
0.639, 0.628, 9, -5.585, 1, 0.0241, 0.24, 0.00000775, 0.121, 0.542, 94.011, 162344, 4
0.603, 0.865, 8, -3.02, 0, 0.0383, 0.00986, 0.0005, 0.109, 0.538, 122.984, 210907, 4
0.554, 0.745, 0, -5.382, 1, 0.0312, 0.0584, 0.00000581, 0.092, 0.332, 89.996, 227295, 4
0.504, 0.596, 4, -7.628, 1, 0.0322, 0.516, 0.251, 0.115, 0.118, 108.069, 268627, 4
0.549, 0.497, 5, -8.385, 1, 0.0796, 0.177, 0.00605, 0.206, 0.38, 80.489, 260920, 4
0.61, 0.637, 0, -6.574, 1, 0.0238, 0.0682, 0.00000612, 0.284, 0.572, 79.955, 232200, 4
0.596, 0.888, 11, -3.585, 1, 0.0378, 0.000875, 0, 0.0861, 0.719, 102.016, 226000, 4
0.697, 0.669, 4, -6.524, 0, 0.0343, 0.11, 0.00874, 0.119, 0.272, 118.003, 194412, 4
0.531, 0.582, 7, -6.363, 0, 0.0259, 0.399, 0.0000601, 0.0541, 0.359, 80.046, 212114, 1
0.552, 0.724, 0, -3.698, 1, 0.0271, 0.169, 0, 0.11, 0.769, 80.516, 203653, 4
0.439, 0.912, 5, -5.359, 1, 0.0951, 0.014, 0.0897, 0.115, 0.222, 157.662, 263712, 4
0.407, 0.86, 10, -3.93, 1, 0.0642, 0.0837, 0.0252, 0.199, 0.346, 147.948, 214944, 4
