danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature
0.524, 0.505, 11, -8.256, 0, 0.275, 0.0121, 0.00000128, 0.225, 0.3, 189.978, 228027, 4
0.602, 0.797, 6, -5.084, 0, 0.0534, 0.055, 0, 0.187, 0.487, 92.928, 185360, 4
0.804, 0.65, 7, -7.79, 1, 0.118, 0.0606, 0.0000705, 0.102, 0.391, 117.984, 263373, 4
0.652, 0.713, 8, -5.311, 1, 0.0368, 0.0771, 0.0000102, 0.144, 0.147, 100.023, 205947, 4
0.748, 0.524, 8, -5.599, 1, 0.0338, 0.414, 0, 0.111, 0.635, 95.01, 244960, 4
0.695, 0.672, 1, -6.109, 0, 0.0345, 0.014, 0.0000844, 0.0756, 0.272, 104.988, 235827, 4
0.63, 0.928, 9, -2.787, 0, 0.0331, 0.199, 0.124, 0.148, 0.46, 123.963, 222160, 4
0.681, 0.708, 5, -6.019, 0, 0.0304, 0.042, 0.14, 0.676, 0.359, 92.993, 237581, 4
0.501, 0.519, 4, -5.88, 0, 0.0409, 0.109, 0, 0.454, 0.157, 133.99, 195707, 4
0.734, 0.661, 11, -6.705, 1, 0.0356, 0.222, 0.00000218, 0.201, 0.258, 134.93, 207881, 4
0.681, 0.774, 1, -3.167, 0, 0.0787, 0.0992, 0, 0.35, 0.289, 102.924, 162425, 4
0.63, 0.74, 5, -4.786, 0, 0.0381, 0.00589, 0.00000153, 0.248, 0.274, 87.01, 193893, 4
0.598, 0.532, 3, -6.833, 0, 0.0295, 0.0668, 0.00000322, 0.0617, 0.275, 74.963, 262521, 4
0.776, 0.624, 1, -5.815, 1, 0.0505, 0.00849, 0.00208, 0.356, 0.349, 103.987, 173975, 4
0.598, 0.842, 5, -5.612, 0, 0.0815, 0.0978, 0.0000767, 0.644, 0.585, 103.921, 152461, 4
0.632, 0.575, 5, -6.478, 1, 0.029, 0.0225, 0.00000181, 0.104, 0.229, 90.037, 183414, 4
0.532, 0.869, 11, -5.094, 1, 0.172, 0.157, 0.00508, 0.136, 0.419, 159.803, 208373, 4
0.628, 0.698, 6, -5.608, 0, 0.105, 0.0472, 0.00143, 0.0907, 0.73, 89.976, 211667, 4
0.565, 0.849, 0, -3.516, 0, 0.0517, 0.00868, 0.00000468, 0.12, 0.43, 102.034, 212647, 4
0.738, 0.812, 1, -5.29, 1, 0.0495, 0.375, 0, 0.276, 0.684, 118.004, 196613, 4
0.51, 0.692, 0, -5.825, 1, 0.171, 0.00451, 0, 0.138, 0.21, 102.42, 228361, 4
0.6, 0.412, 8, -9.343, 1, 0.344, 0.615, 0.0025, 0.134, 0.409, 113.049, 225882, 5
0.747, 0.877, 9, -3.782, 0, 0.0664, 0.0375, 0.000833, 0.233, 0.763, 107.991, 166138, 4
0.712, 0.62, 4, -4.187, 1, 0.0888, 0.39, 0, 0.0994, 0.519, 99.953, 181880, 4
0.636, 0.728, 9, -5.871, 1, 0.0999, 0.0153, 0.00000146, 0.154, 0.384, 107.986, 244453, 4
0.671, 0.916, 6, -4.014, 0, 0.0397, 0.0282, 0.00762, 0.24, 0.804, 126.01, 189127, 4
