danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature
0.328, 0.919, 2, -2.166, 1, 0.1, 0.0859, 0, 0.324, 0.502, 99.312, 178013, 4
0.511, 0.876, 11, -4.287, 0, 0.0337, 0.0338, 0, 0.645, 0.281, 142.056, 229760, 4
0.481, 0.956, 9, -3.73, 1, 0.0388, 0.000358, 0.0167, 0.441, 0.632, 155.054, 215000, 4
0.303, 0.988, 3, -4.208, 0, 0.127, 0.00384, 0.548, 0.101, 0.148, 176.348, 223773, 4
0.521, 0.879, 10, -4.255, 0, 0.0566, 0.000785, 0, 0.666, 0.711, 129.056, 231360, 4
0.521, 0.837, 5, -4.581, 1, 0.122, 0.000192, 0.051, 0.0929, 0.589, 80.027, 188834, 4
0.282, 0.789, 5, -7.14, 0, 0.0674, 0.00287, 0.0531, 0.0723, 0.242, 109.451, 278165, 4
0.542, 0.661, 11, -5.881, 1, 0.0356, 0.307, 0.000365, 0.123, 0.276, 135.747, 200839, 4
0.638, 0.817, 10, -5.021, 0, 0.0636, 0.0179, 0, 0.338, 0.744, 101.028, 189467, 4
0.624, 0.242, 9, -17.948, 1, 0.0396, 0.601, 0.014, 0.112, 0.279, 119.253, 290693, 4
0.554, 0.752, 0, -8.086, 1, 0.0313, 0.000053, 0.237, 0.104, 0.398, 118.95, 253602, 4
0.539, 0.844, 9, -4.554, 0, 0.0609, 0.0232, 0, 0.0819, 0.493, 174.067, 187627, 4
0.398, 0.927, 5, -5.442, 0, 0.196, 0.000319, 0, 0.417, 0.198, 155.005, 240912, 4
0.682, 0.44, 0, -7.517, 1, 0.0852, 0.643, 0.000175, 0.124, 0.0752, 140.823, 223116, 4
0.482, 0.867, 2, -5.924, 1, 0.0325, 0.0000785, 0, 0.125, 0.241, 95.999, 192013, 4
0.595, 0.968, 11, -3.712, 0, 0.0897, 0.0000498, 0.0228, 0.228, 0.774, 135.002, 180493, 4
