danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature
0.572, 0.8, 2, -4.086, 1, 0.0451, 0.0327, 0, 0.0911, 0.507, 156.006, 214547, 4
0.486, 0.714, 9, -6.336, 1, 0.0381, 0.0251, 0, 0.13, 0.541, 150.132, 190903, 4
0.59, 0.38, 10, -8.149, 1, 0.0298, 0.325, 0, 0.075, 0.367, 74.011, 225227, 3
0.46, 0.834, 0, -4.749, 1, 0.0553, 0.119, 0.00000912, 0.252, 0.272, 156.98, 251333, 4
0.583, 0.56, 5, -8.569, 1, 0.0297, 0.148, 0, 0.111, 0.577, 80.064, 201613, 4
0.808, 0.697, 2, -5.578, 1, 0.0357, 0.0201, 0, 0.0358, 0.961, 96.007, 166413, 4
0.635, 0.579, 4, -7.872, 1, 0.0517, 0.374, 0.00000353, 0.0715, 0.106, 135.974, 214053, 4
0.579, 0.859, 0, -3.807, 1, 0.0587, 0.145, 0, 0.0675, 0.42, 116.014, 209360, 4
0.678, 0.643, 2, -5.934, 1, 0.0417, 0.018, 0.0000373, 0.0717, 0.715, 156.04, 212720, 4
0.594, 0.718, 8, -3.357, 0, 0.0497, 0.0847, 0.00187, 0.133, 0.529, 119.72, 271008, 4
0.528, 0.666, 7, -3.962, 0, 0.0333, 0.351, 0, 0.0879, 0.526, 78.103, 196960, 4
0.673, 0.8, 2, -6.792, 1, 0.0315, 0.123, 0, 0.117, 0.876, 124, 181680, 4
0.599, 0.795, 11, -4.47, 0, 0.0302, 0.166, 0.00000423, 0.224, 0.559, 135.97, 271493, 4
0.602, 0.873, 4, -2.857, 1, 0.0322, 0.0383, 0, 0.0932, 0.718, 137.998, 208240, 4
0.717, 0.761, 9, -4.803, 0, 0.0279, 0.0399, 0.00000154, 0.107, 0.798, 119.015, 179293, 4
0.649, 0.894, 2, -6.883, 1, 0.0349, 0.0252, 0.000048, 0.102, 0.603, 112.012, 214387, 4
0.503, 0.824, 3, -4.039, 1, 0.0524, 0.083, 0, 0.21, 0.445, 161.981, 184506, 4
0.558, 0.753, 0, -5.695, 1, 0.0488, 0.0224, 0.00000114, 0.104, 0.244, 75.004, 181279, 4
0.633, 0.683, 1, -4.648, 1, 0.0277, 0.0902, 0, 0.124, 0.56, 131.046, 208480, 4
0.644, 0.482, 4, -4.831, 1, 0.0237, 0.19, 0, 0.0892, 0.592, 82.01, 193987, 4
0.598, 0.873, 1, -4.135, 1, 0.042, 0.0183, 0, 0.11, 0.431, 98, 189787, 4
0.583, 0.862, 0, -5.804, 1, 0.0337, 0.00492, 0, 0.12, 0.667, 112.953, 234587, 4
0.559, 0.598, 3, -7.025, 1, 0.0355, 0.0762, 0, 0.18, 0.368, 89.05, 208773, 4
0.5, 0.906, 6, -3.521, 1, 0.0345, 0.0866, 0, 0.172, 0.566, 149.989, 212173, 4
0.616, 0.706, 0, -6.846, 1, 0.0233, 0.00969, 0.313, 0.111, 0.654, 89.998, 349267, 4
0.679, 0.64, 11, -7.207, 1, 0.0403, 0.0336, 0.0000687, 0.111, 0.604, 114.012, 188613, 4
